record_id,document_type,image_filename,extracted_date,extracted_store_or_dept,extracted_amount,extracted_scores,extracted_note,confidence,error_message,preprocessing_used
R-0038,receipt,data/input_images/receipts/receipt_038_R-0038.jpg,2026-04-01,데이터랩서점,123750.0,,,0.9612,,True
S-0035,survey,data/input_images/surveys/survey_035_S-0035.jpg,2026-05-06,운영팀,,"{""satisfaction_score"": 2, ""usability_score"": 5, ""speed_score"": 1}",차트 설명이 필요함,0.9539,,True
R-0076,receipt,data/input_images/receipts/receipt_076_R-0076.jpg,2026-04-15,업무자동화카페,122100.0,,,0.9396,,True
S-0075,survey,data/input_images/surveys/survey_075_S-0075.jpg,2026-05-12,운영팀,,"{""satisfaction_score"": 5, ""usability_score"": 2, ""speed_score"": 3}",대시보드가 보기 쉬움,0.9461,,True
R-0003,receipt,data/input_images/receipts/receipt_003_R-0003.jpg,2026-04-28,클라우드문구,43450.0,,,0.929,,True
S-0026,survey,data/input_images/surveys/survey_026_S-0026.jpg,2026-03-27,재무팀,,"{""satisfaction_score"": 4, ""usability_score"": 5, ""speed_score"": 1}",모바일 화면 개선,0.9698,,True
R-0074,receipt,data/input_images/receipts/receipt_074_R-0074.jpg,2026-04-02,테크문구,150150.0,,,0.8367,,True
R-0067,receipt,data/input_images/receipts/receipt_067_R-0067.jpg,2026-05-02,서울프린트,145200.0,,,0.916,,True
R-0018,receipt,data/input_images/receipts/receipt_018_R-0018.jpg,2026-04-25,스마트오피스,183700.0,,,0.8528,,True
S-0081,survey,data/input_images/surveys/survey_081_S-0081.jpg,2026-06-26,재무팀,,"{""satisfaction_score"": 4, ""usability_score"": 3, ""speed_score"": 4}",속도 개선 필요,0.8299,,True
S-0061,survey,data/input_images/surveys/survey_061_S-0061.jpg,2026-04-07,마케팅팀,,"{""satisfaction_score"": 5, ""usability_score"": 5, ""speed_score"": 4}",속도 개선 필요,0.9496,,True
R-0046,receipt,data/input_images/receipts/receipt_046_R-0046.jpg,2026-05-13,디지털스캔샵,162250.0,,,0.9811,,True
R-0030,receipt,data/input_images/receipts/receipt_030_R-0030.jpg,2026-06-25,디지털스캔샵,194700.0,,,0.9531,,True
S-0093,survey,data/input_images/surveys/survey_093_S-0093.jpg,2026-04-29,재무팀,,"{""satisfaction_score"": 3, ""usability_score"": 2, ""speed_score"": 3}",이미지 업로드 편리,0.983,,True
S-0016,survey,data/input_images/surveys/survey_016_S-0016.jpg,2026-04-07,데이터팀,,"{""satisfaction_score"": 2, ""usability_score"": 3, ""speed_score"": 5}",입력 절차가 간단함,0.9389,,True
S-0005,survey,data/input_images/surveys/survey_005_S-0005.jpg,2026-05-19,운영팀,,"{""satisfaction_score"": 3, ""usability_score"": 5, ""speed_score"": 5}",속도 개선 필요,0.9598,,True
R-0012,receipt,data/input_images/receipts/receipt_012_R-0012.jpg,2026-03-17,디지털스캔샵,147950.0,,,0.948,,True
S-0051,survey,data/input_images/surveys/survey_051_S-0051.jpg,2026-06-01,교육팀,,"{""satisfaction_score"": 5, ""usability_score"": 4, ""speed_score"": 1}",이미지 업로드 편리,0.8352,,True
S-0003,survey,data/input_images/surveys/survey_003_S-0003.jpg,2026-03-20,마케팅팀,,"{""satisfaction_score"": 5, ""usability_score"": 2, ""speed_score"": 4}",모바일 화면 개선,0.929,,True
R-0019,receipt,data/input_images/receipts/receipt_019_R-0019.jpg,2026-05-15,테크문구,38500.0,,,0.9642,,True
S-0028,survey,data/input_images/surveys/survey_028_S-0028.jpg,2026-05-21,기획팀,,"{""satisfaction_score"": 3, ""usability_score"": 2, ""speed_score"": 2}",입력 절차가 간단함,0.919,,True
R-0025,receipt,data/input_images/receipts/receipt_025_R-0025.jpg,2026-05-03,AI세미나센터,207350.0,,,0.9402,,True
S-0069,survey,data/input_images/surveys/survey_069_S-0069.jpg,2026-05-26,교육팀,,"{""satisfaction_score"": 4, ""usability_score"": 4, ""speed_score"": 2}",메뉴 구성이 좋음,0.7905,,True
S-0063,survey,data/input_images/surveys/survey_063_S-0063.jpg,2026-04-10,운영팀,,"{""satisfaction_score"": 5, ""usability_score"": 4, ""speed_score"": 4}",,0.8123,,True
S-0101,survey,data/input_images/surveys/survey_101_S-0101.jpg,2026-05-28,재무팀,,"{""satisfaction_score"": 5, ""usability_score"": 2, ""speed_score"": 5}",이미지 업로드 편리,0.8014,,True
R-0104,receipt,data/input_images/receipts/receipt_104_R-0104.jpg,2026-04-16,스마트오피스,271700.0,,,0.9868,,True
S-0091,survey,data/input_images/surveys/survey_091_S-0091.jpg,2026-06-11,마케팅팀,,"{""satisfaction_score"": 5, ""usability_score"": 2, ""speed_score"": 4}",보고서 자동화 유용,0.9167,,True
R-0116,receipt,data/input_images/receipts/receipt_116_R-0116.jpg,,디지털스캔샵,174350.0,,,0.846,,True
R-0088,receipt,data/input_images/receipts/receipt_088_R-0088.jpg,2026-05-28,테크문구,183150.0,,,0.9418,,True
S-0041,survey,data/input_images/surveys/survey_041_S-0041.jpg,2026-03-22,기획팀,,"{""satisfaction_score"": 5, ""usability_score"": 3, ""speed_score"": 1}",메뉴 구성이 좋음,0.9405,,True
R-0071,receipt,data/input_images/receipts/receipt_071_R-0071.jpg,2026-06-24,테크문구,,,,0.8482,,True
R-0022,receipt,data/input_images/receipts/receipt_022_R-0022.jpg,2026-05-18,AI세미나센터,161150.0,,,0.9867,,True
S-0017,survey,data/input_images/surveys/survey_017_S-0017.jpg,2026-03-06,기획팀,,"{""satisfaction_score"": 3, ""usability_score"": 2, ""speed_score"": 5}",차트 설명이 필요함,0.8687,,True
R-0050,receipt,data/input_images/receipts/receipt_050_R-0050.jpg,2026-03-29,데이터랩서점,189750.0,,,0.9498,,True
S-0004,survey,data/input_images/surveys/survey_004_S-0004.jpg,2026-06-07,영업팀,,"{""satisfaction_score"": 3, ""usability_score"": 5, ""speed_score"": 4}",데이터 보정 기능 좋음,0.9289,,True
S-0116,survey,data/input_images/surveys/survey_116_S-0116.jpg,2026-06-16,운영팀,,"{""satisfaction_score"": 2, ""usability_score"": 4, ""speed_score"": null}",OCR 결과 확인 필요,0.846,,True
R-0042,receipt,data/input_images/receipts/receipt_042_R-0042.jpg,2026-06-13,테크문구,168850.0,,,0.9612,,True
S-0119,survey,data/input_images/surveys/survey_119_S-0119.jpg,2026-07-09,마케팅팀,,"{""satisfaction_score"": 2, ""usability_score"": 5, ""speed_score"": 2}",대시보드가 보기 쉬움,0.9841,,True
R-0091,receipt,data/input_images/receipts/receipt_091_R-0091.jpg,2026-05-17,서울프린트,121000.0,,,0.799,,True
R-0108,receipt,data/input_images/receipts/receipt_108_R-0108.jpg,2026-06-09,디지털스캔샵,253000.0,,,0.8697,,True
S-0094,survey,data/input_images/surveys/survey_094_S-0094.jpg,2026-07-02,운영팀,,"{""satisfaction_score"": 4, ""usability_score"": 5, ""speed_score"": 4}",대시보드가 보기 쉬움,0.9537,,True
S-0012,survey,data/input_images/surveys/survey_012_S-0012.jpg,2026-05-12,재무팀,,"{""satisfaction_score"": 2, ""usability_score"": 2, ""speed_score"": 1}",이미지 업로드 편리,0.948,,True
R-0045,receipt,data/input_images/receipts/receipt_045_R-0045.jpg,2026-05-30,모두카페,,,,0.8337,,True
S-0018,survey,data/input_images/surveys/survey_018_S-0018.jpg,2026-07-07,인사팀,,"{""satisfaction_score"": 4, ""usability_score"": 5, ""speed_score"": 5}",차트 설명이 필요함,0.9245,,True
S-0043,survey,data/input_images/surveys/survey_043_S-0043.jpg,2026-03-20,교육팀,,"{""satisfaction_score"": 2, ""usability_score"": 4, ""speed_score"": 3}",이미지 업로드 편리,0.8566,,True
R-0089,receipt,data/input_images/receipts/receipt_089_R-0089.jpg,2026-03-02,그린오피스,228800.0,,,0.9165,,True
S-0054,survey,data/input_images/surveys/survey_054_S-0054.jpg,2026-04-30,마케팅팀,,"{""satisfaction_score"": 2, ""usability_score"": 3, ""speed_score"": 2}",데이터 보정 기능 좋음,0.9831,,True
S-0089,survey,data/input_images/surveys/survey_089_S-0089.jpg,2026-04-02,데이터팀,,"{""satisfaction_score"": 3, ""usability_score"": 4, ""speed_score"": 2}",보고서 자동화 유용,0.8467,,True
S-0107,survey,data/input_images/surveys/survey_107_S-0107.jpg,2026-07-06,데이터팀,,"{""satisfaction_score"": 3, ""usability_score"": 4, ""speed_score"": 5}",메뉴 구성이 좋음,0.8439,,True
S-0009,survey,data/input_images/surveys/survey_009_S-0009.jpg,2026-03-07,기획팀,,"{""satisfaction_score"": 5, ""usability_score"": 3, ""speed_score"": 3}",입력 절차가 간단함,0.947,,True
S-0008,survey,data/input_images/surveys/survey_008_S-0008.jpg,2026-04-03,재무팀,,"{""satisfaction_score"": 3, ""usability_score"": 5, ""speed_score"": 5}",입력 절차가 간단함,0.9281,,True
S-0078,survey,data/input_images/surveys/survey_078_S-0078.jpg,2026-04-30,영업팀,,"{""satisfaction_score"": 4, ""usability_score"": 2, ""speed_score"": 5}",이미지 업로드 편리,0.7906,,True
R-0068,receipt,data/input_images/receipts/receipt_068_R-0068.jpg,2026-06-19,그린오피스,223300.0,,,0.9693,,True
R-0064,receipt,data/input_images/receipts/receipt_064_R-0064.jpg,2026-05-31,서울프린트,125950.0,,,0.9481,,True
R-0099,receipt,data/input_images/receipts/receipt_099_R-0099.jpg,2026-04-06,스마트오피스,77550.0,,,0.9423,,True
R-0094,receipt,data/input_images/receipts/receipt_094_R-0094.jpg,2026-06-12,디지털스캔샵,209000.0,,,0.7937,,True
S-0031,survey,data/input_images/surveys/survey_031_S-0031.jpg,2026-03-06,데이터팀,,"{""satisfaction_score"": 2, ""usability_score"": 4, ""speed_score"": 2}",모바일 화면 개선,0.911,,True
S-0068,survey,data/input_images/surveys/survey_068_S-0068.jpg,2026-03-09,운영팀,,"{""satisfaction_score"": 5, ""usability_score"": 3, ""speed_score"": 5}",메뉴 구성이 좋음,0.9693,,True
S-0088,survey,data/input_images/surveys/survey_088_S-0088.jpg,2026-03-14,기획팀,,"{""satisfaction_score"": 4, ""usability_score"": 2, ""speed_score"": 3}",보고서 자동화 유용,0.8008,,True
S-0046,survey,data/input_images/surveys/survey_046_S-0046.jpg,2026-06-29,인사팀,,"{""satisfaction_score"": 4, ""usability_score"": 5, ""speed_score"": 4}",차트 설명이 필요함,0.9811,,True
S-0047,survey,data/input_images/surveys/survey_047_S-0047.jpg,2026-03-10,데이터팀,,"{""satisfaction_score"": 4, ""usability_score"": 2, ""speed_score"": 1}",모바일 화면 개선,0.9381,,True
S-0011,survey,data/input_images/surveys/survey_011_S-0011.jpg,2026-07-01,교육팀,,"{""satisfaction_score"": 2, ""usability_score"": 4, ""speed_score"": 5}",OCR 결과 확인 필요,0.9462,,True
S-0105,survey,data/input_images/surveys/survey_105_S-0105.jpg,2026-04-08,영업팀,,"{""satisfaction_score"": 4, ""usability_score"": 4, ""speed_score"": 4}",보고서 자동화 유용,0.9802,,True
S-0007,survey,data/input_images/surveys/survey_007_S-0007.jpg,2026-03-31,인사팀,,"{""satisfaction_score"": 2, ""usability_score"": 5, ""speed_score"": null}",속도 개선 필요,0.7966,,True
R-0081,receipt,data/input_images/receipts/receipt_081_R-0081.jpg,2026-07-09,모두카페,347050.0,,,0.8299,,True
R-0109,receipt,data/input_images/receipts/receipt_109_R-0109.jpg,2026-03-16,스마트오피스,178200.0,,,0.8305,,True
R-0103,receipt,data/input_images/receipts/receipt_103_R-0103.jpg,2026-04-29,서울프린트,165000.0,,,0.8302,,True
R-0073,receipt,data/input_images/receipts/receipt_073_R-0073.jpg,2026-04-10,테크문구,61600.0,,,0.9324,,True
R-0060,receipt,data/input_images/receipts/receipt_060_R-0060.jpg,2026-06-30,테크문구,147950.0,,,0.9346,,True
S-0113,survey,data/input_images/surveys/survey_113_S-0113.jpg,2026-05-26,재무팀,,"{""satisfaction_score"": 4, ""usability_score"": 2, ""speed_score"": null}",입력 절차가 간단함,0.8754,,True
